PULocationID,PULocationName
43,Manhattan_Central Park
166,Manhattan_Morningside Heights
226,Queens_Sunnyside
89,Brooklyn_Flatbush/Ditmas Park
7,Queens_Astoria
197,Queens_Richmond Hill
166,Manhattan_Morningside Heights
244,Manhattan_Washington Heights South
127,Manhattan_Inwood
75,Manhattan_East Harlem South
75,Manhattan_East Harlem South
244,Manhattan_Washington Heights South
116,Manhattan_Hamilton Heights
95,Queens_Forest Hills
130,Queens_Jamaica
146,Queens_Long Island City/Queens Plaza
179,Queens_Old Astoria
95,Queens_Forest Hills
41,Manhattan_Central Harlem
83,Queens_Elmhurst/Maspeth
74,Manhattan_East Harlem North
136,Bronx_Kingsbridge Heights
135,Queens_Kew Gardens Hills
95,Queens_Forest Hills
127,Manhattan_Inwood
74,Manhattan_East Harlem North
226,Queens_Sunnyside
247,Bronx_West Concourse
42,Manhattan_Central Harlem North
74,Manhattan_East Harlem North
92,Queens_Flushing
92,Queens_Flushing
42,Manhattan_Central Harlem North
181,Brooklyn_Park Slope
181,Brooklyn_Park Slope
146,Queens_Long Island City/Queens Plaza
145,Queens_Long Island City/Hunters Point
129,Queens_Jackson Heights
193,Queens_Queensbridge/Ravenswood
75,Manhattan_East Harlem South
179,Queens_Old Astoria
258,Queens_Woodhaven
75,Manhattan_East Harlem South
223,Queens_Steinway
73,Queens_East Flushing
74,Manhattan_East Harlem North
95,Queens_Forest Hills
181,Brooklyn_Park Slope
74,Manhattan_East Harlem North
112,Brooklyn_Greenpoint
82,Queens_Elmhurst
127,Manhattan_Inwood
179,Queens_Old Astoria
247,Bronx_West Concourse
95,Queens_Forest Hills
166,Manhattan_Morningside Heights
166,Manhattan_Morningside Heights
41,Manhattan_Central Harlem
82,Queens_Elmhurst
127,Manhattan_Inwood
95,Queens_Forest Hills
24,Manhattan_Bloomingdale
56,Queens_Corona
116,Manhattan_Hamilton Heights
76,Brooklyn_East New York
77,Brooklyn_East New York/Pennsylvania Avenue
39,Brooklyn_Canarsie
82,Queens_Elmhurst
74,Manhattan_East Harlem North
74,Manhattan_East Harlem North
244,Manhattan_Washington Heights South
41,Manhattan_Central Harlem
116,Manhattan_Hamilton Heights
33,Brooklyn_Brooklyn Heights
42,Manhattan_Central Harlem North
41,Manhattan_Central Harlem
75,Manhattan_East Harlem South
244,Manhattan_Washington Heights South
74,Manhattan_East Harlem North
74,Manhattan_East Harlem North
74,Manhattan_East Harlem North
7,Queens_Astoria
92,Queens_Flushing
130,Queens_Jamaica
76,Brooklyn_East New York
74,Manhattan_East Harlem North
75,Manhattan_East Harlem South
129,Queens_Jackson Heights
152,Manhattan_Manhattanville
41,Manhattan_Central Harlem
74,Manhattan_East Harlem North
74,Manhattan_East Harlem North
132,Queens_JFK Airport
42,Manhattan_Central Harlem North
180,Queens_Ozone Park
75,Manhattan_East Harlem South
33,Brooklyn_Brooklyn Heights
42,Manhattan_Central Harlem North
130,Queens_Jamaica
130,Queens_Jamaica
222,Brooklyn_Starrett City
130,Queens_Jamaica
215,Queens_South Jamaica
33,Brooklyn_Brooklyn Heights
210,Brooklyn_Sheepshead Bay
74,Manhattan_East Harlem North
